techs,parameters,2023,2025,2030,2035,2040,2045,2050
oil,flow_out_eff,0.36,0.41,0.42,0.42,0.43,0.43,0.44
coal,flow_out_eff,0.39,0.49,0.52,0.52,0.53,0.53,0.535
ccgt,flow_out_eff,0.48,0.56,0.58,0.585,0.59,0.595,0.6
waste,flow_out_eff,0.224,0.2265,0.229,0.231,0.233,0.235,0.237
bioenergy,flow_out_eff,0.283,0.2835,0.284,0.28275,0.2815,0.28025,0.279
