techs,parameters,2023,2025,2030,2035,2040,2045,2050
onshore_wind,lifetime,27,28.5,30,30,30,30,30
offshore_wind,lifetime,27,30,30,30,30,30,30
pv,lifetime,35,40,40,40,40,40,40
